lemma_syntag2	F
de.le_Pre+Det	931
à.le_Pre+Det	902
en.le_Pre+Det	310
ne.le_Neg$$+Prn$$	70
je.le_Prn$+Prn$$	16
si4.le_Adv+Prn$$	16
être.ce_Vfin+Prn	8
si.le_Adv+Prn$$	8
à.lequel_Pre+Qux	5
qui.le_Qux+Prn$$	4
si4.en2_Adv+Prn$$	3
duquel_Pre+Qux	2
es.vous_NVP+Prn	2
ne.le_Neg+Prn$$	2
ne.me_Neg$$+Prn$$	2
ne.y2_Neg$$+Prn$$	2
que.le_Qux+Prn$$	2
que.le_Sub+Prn$$	2
à.ledit_Pre+Det	1
aluec_Pre+Det	1
aluec.le_Adv+Prn$$	1
contre3.le_PrA+Det	1
de.entour_Pre+PrA	1
en.ledit_Pre+Dem	1
en.lequel_Pre+Qux	1
encore.y2_Adv+Prn$$	1
et.le_Crd+Det	1
et.le_Crd+Prn$$	1
jà.le_Adv+Prn$$	1
je.en2_Prn$+Prn$$	1
je.te_Prn+Prn$$	1
le.me_Prn$$+Prn$$	1
le.y2_Prn$$+Prn$$	1
ne.se_Neg$$+Prn$$	1
pour.ce_Pre+Dem	1
pour.ce_Pre+Prn	1
que.en2_Qux+Prn$$	1
qui.en2_Qux+Prn$$	1
si3.le_Sub+Prn$$	1
tu.le_Prn$+Prn$$	1
